id,tx_line_length,voltage,state,region,owner,lon,lat
142641,227570.49913650012,765.0,Indiana,EM,NOT AVAILABLE,-86.77094220488169,38.17692730695752
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-93.12839221706557,47.575194140864106
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-92.74493286330988,47.36067895778498
105541,74288.42581668557,765.0,Illinois,EM,NOT AVAILABLE,-88.51450981120897,41.63674313016543
163166,156613.38034532114,765.0,Indiana,EM,NOT AVAILABLE,-85.36573160981622,40.938491210927296
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-93.91566513194755,48.15386273620896
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-94.69076964765392,48.476274490139296
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-94.90807373184994,48.6389879777396
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-95.43984818642349,48.888916847811
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.90877164724635,45.81324667916936
105541,74288.42581668557,765.0,Illinois,EM,NOT AVAILABLE,-88.43729862439207,41.50302934316453
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.91176528293072,45.906739347766724
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.99664633415243,46.959124540863144
163166,156613.38034532114,765.0,Indiana,EM,NOT AVAILABLE,-85.36750430836696,40.936777999270454
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.94254470866814,47.07064727880171
142641,227570.49913650012,765.0,Indiana,EM,NOT AVAILABLE,-85.78183750169477,38.742975679789595
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-93.47738635657477,47.95361644512294
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.95442007739807,46.20534987627036
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-93.93631578336195,48.176582265295956
133261,1070.0015454484835,765.0,Ohio,EM,OHIO POWER CO,-82.77419099959423,38.569018000113246
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-95.38443496582718,48.756989443740714
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-93.0655693461544,47.54549385409407
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.90916097709051,45.601732953189995
134312,53623.85305293678,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-82.65001658501961,38.58306122807832
135738,53064.83341127983,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-83.05907262161759,40.19885826680144
116142,199853.88991132448,765.0,Indiana,EM,NOT AVAILABLE,-87.37344970488951,38.73789136366971
145385,228723.00395046137,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-82.76242488576578,39.42702254020263
142641,227570.49913650012,765.0,Indiana,EM,NOT AVAILABLE,-87.02921723107086,37.93093892472633
116142,199853.88991132448,765.0,Indiana,EM,NOT AVAILABLE,-87.40960604437075,38.840542399125326
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-93.20785431159157,47.671640070151284
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-95.19011634430048,48.768342283118464
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.90883470897933,45.726416178702
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-92.74987063293207,47.42793127823732
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.93655806612018,47.084894737881505
119511,262295.9631857906,765.0,Indiana,EM,"DUKE ENERGY INDIANA, LLC",-85.77720170794181,39.94473489406009
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.97077300883018,46.74396684715464
135738,53064.83341127983,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-83.41125173886493,40.32245458433692
145385,228723.00395046137,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-82.73444522759627,39.41215000684836
142641,227570.49913650012,765.0,Indiana,EM,NOT AVAILABLE,-86.76263798166424,38.18665256831915
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.97077714108049,46.762507735730864
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.9939265462892,46.9455882629916
119137,22080.967160649663,765.0,Ohio,EM,NOT AVAILABLE,-82.93334358620551,40.1992913351015
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.98087204891732,46.03635007530814
105541,74288.42581668557,765.0,Illinois,EM,NOT AVAILABLE,-88.51456631524033,41.633527160323034
142641,227570.49913650012,765.0,Indiana,EM,NOT AVAILABLE,-86.6285735011887,38.284946904981545
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-93.42183876238494,47.95191945769996
119511,262295.9631857906,765.0,Indiana,EM,"DUKE ENERGY INDIANA, LLC",-85.57569707169031,39.21555541681681
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.9090717743828,45.60527638070808
